iter	Passed	Remaining
0	35	35695
1	71	35712
2	122	40872
3	157	39163
4	193	38528
5	229	38085
6	266	37741
7	303	37613
8	339	37367
9	379	37524
10	414	37263
11	448	36947
12	492	37426
13	528	37192
14	571	37537
15	611	37631
16	647	37416
17	682	37242
18	718	37084
19	761	37294
20	795	37076
21	840	37351
22	877	37283
23	916	37256
24	952	37166
25	990	37118
26	1028	37053
27	1067	37064
28	1107	37097
29	1145	37041
30	1183	36991
31	1221	36953
32	1258	36886
33	1296	36834
34	1338	36901
35	1378	36906
36	1413	36793
37	1449	36698
38	1485	36602
39	1525	36622
40	1569	36718
41	1608	36687
42	1645	36616
43	1682	36548
44	1718	36476
45	1755	36413
46	1791	36329
47	1826	36230
48	1862	36140
49	1898	36062
50	1931	35941
51	1965	35827
52	2000	35751
53	2035	35660
54	2069	35555
55	2107	35533
56	2141	35429
57	2176	35352
58	2214	35323
59	2250	35263
60	2286	35197
61	2321	35117
62	2355	35034
63	2391	34979
64	2429	34941
65	2464	34878
66	2502	34846
67	2539	34811
68	2579	34811
69	2617	34780
70	2656	34757
71	2691	34693
72	2725	34614
73	2762	34570
74	2799	34526
75	2835	34472
76	2875	34472
77	2912	34430
78	2955	34457
79	2991	34401
80	3028	34356
81	3068	34354
82	3105	34311
83	3141	34261
84	3178	34214
85	3215	34175
86	3252	34135
87	3288	34080
88	3327	34056
89	3368	34059
90	3406	34027
91	3442	33971
92	3478	33927
93	3516	33895
94	3557	33887
95	3595	33861
96	3631	33806
97	3667	33755
98	3702	33694
99	3737	33633
100	3773	33588
101	3809	33535
102	3845	33485
103	3880	33432
104	3914	33368
105	3948	33299
106	3981	33232
107	4016	33174
108	4054	33139
109	4087	33068
110	4121	33009
111	4156	32951
112	4191	32903
113	4228	32864
114	4263	32810
115	4299	32768
116	4333	32705
117	4370	32670
118	4408	32639
119	4445	32597
120	4480	32547
121	4516	32507
122	4557	32498
123	4595	32463
124	4633	32433
125	4670	32396
126	4706	32355
127	4743	32313
128	4778	32263
129	4815	32230
130	4853	32193
131	4902	32238
132	4944	32235
133	4982	32199
134	5019	32161
135	5055	32118
136	5094	32092
137	5132	32060
138	5167	32011
139	5204	31968
140	5241	31933
141	5279	31898
142	5319	31876
143	5362	31879
144	5399	31841
145	5435	31795
146	5474	31768
147	5511	31728
148	5545	31674
149	5590	31678
150	5627	31638
151	5661	31587
152	5696	31537
153	5732	31490
154	5766	31437
155	5801	31385
156	5837	31342
157	5872	31294
158	5906	31240
159	5939	31182
160	5973	31131
161	6007	31076
162	6045	31043
163	6081	31003
164	6115	30949
165	6149	30895
166	6183	30844
167	6221	30808
168	6260	30782
169	6297	30745
170	6332	30700
171	6368	30655
172	6402	30608
173	6438	30564
174	6475	30529
175	6511	30486
176	6548	30447
177	6594	30451
178	6629	30408
179	6665	30366
180	6703	30333
181	6740	30297
182	6776	30254
183	6813	30214
184	6852	30190
185	6893	30168
186	6931	30134
187	6967	30093
188	7004	30055
189	7047	30042
190	7083	30001
191	7120	29967
192	7159	29934
193	7203	29928
194	7239	29887
195	7278	29857
196	7319	29836
197	7356	29798
198	7395	29769
199	7433	29732
200	7468	29689
201	7504	29647
202	7541	29608
203	7582	29586
204	7622	29561
205	7658	29520
206	7695	29479
207	7731	29439
208	7769	29403
209	7808	29374
210	7847	29343
211	7885	29310
212	7921	29267
213	7956	29224
214	7991	29178
215	8028	29138
216	8068	29112
217	8109	29091
218	8144	29044
219	8180	29002
220	8215	28960
221	8253	28923
222	8292	28894
223	8326	28845
224	8360	28798
225	8400	28769
226	8434	28721
227	8470	28679
228	8505	28635
229	8541	28595
230	8576	28550
231	8612	28511
232	8648	28470
233	8683	28423
234	8721	28391
235	8757	28349
236	8799	28328
237	8837	28293
238	8876	28263
239	8914	28230
240	8952	28195
241	8990	28160
242	9029	28127
243	9069	28099
244	9109	28071
245	9148	28040
246	9187	28007
247	9226	27978
248	9266	27947
249	9307	27921
250	9347	27893
251	9383	27853
252	9421	27818
253	9455	27770
254	9493	27735
255	9527	27689
256	9562	27644
257	9605	27624
258	9640	27581
259	9675	27537
260	9712	27499
261	9747	27456
262	9783	27416
263	9819	27375
264	9856	27338
265	9894	27303
266	9933	27270
267	9970	27232
268	10005	27190
269	10042	27151
270	10083	27125
271	10120	27086
272	10158	27051
273	10194	27011
274	10232	26976
275	10268	26936
276	10305	26899
277	10339	26852
278	10374	26808
279	10416	26784
280	10451	26743
281	10486	26699
282	10521	26656
283	10558	26619
284	10595	26580
285	10630	26538
286	10663	26492
287	10697	26446
288	10731	26402
289	10766	26358
290	10803	26322
291	10844	26294
292	10882	26259
293	10920	26223
294	10957	26187
295	10995	26151
296	11030	26110
297	11074	26087
298	11113	26056
299	11148	26012
300	11183	25970
301	11219	25930
302	11256	25893
303	11299	25870
304	11339	25838
305	11374	25796
306	11410	25756
307	11446	25717
308	11483	25679
309	11520	25641
310	11555	25599
311	11596	25572
312	11631	25529
313	11667	25489
314	11702	25447
315	11738	25408
316	11774	25369
317	11809	25327
318	11845	25287
319	11880	25246
320	11916	25206
321	11954	25170
322	11987	25125
323	12021	25082
324	12055	25039
325	12092	25001
326	12127	24960
327	12162	24919
328	12197	24877
329	12232	24836
330	12268	24796
331	12304	24757
332	12340	24718
333	12374	24675
334	12411	24638
335	12448	24601
336	12488	24569
337	12523	24528
338	12563	24497
339	12601	24462
340	12641	24429
341	12677	24390
342	12712	24351
343	12748	24311
344	12784	24272
345	12822	24236
346	12861	24204
347	12900	24169
348	12936	24131
349	12973	24092
350	13009	24054
351	13045	24014
352	13087	23986
353	13122	23946
354	13160	23911
355	13195	23871
356	13232	23833
357	13272	23802
358	13316	23777
359	13353	23739
360	13390	23702
361	13426	23664
362	13463	23625
363	13499	23587
364	13545	23565
365	13586	23535
366	13621	23494
367	13658	23456
368	13694	23417
369	13730	23378
370	13769	23345
371	13805	23306
372	13840	23265
373	13878	23229
374	13912	23186
375	13945	23144
376	13980	23102
377	14015	23062
378	14048	23019
379	14083	22978
380	14122	22943
381	14156	22902
382	14188	22857
383	14222	22815
384	14260	22780
385	14296	22741
386	14333	22703
387	14367	22661
388	14401	22621
389	14438	22583
390	14477	22549
391	14513	22510
392	14548	22471
393	14586	22435
394	14626	22402
395	14662	22363
396	14700	22328
397	14736	22289
398	14771	22250
399	14809	22213
400	14845	22176
401	14885	22143
402	14924	22108
403	14961	22072
404	14999	22036
405	15035	21997
406	15071	21959
407	15109	21923
408	15150	21891
409	15187	21855
410	15222	21815
411	15262	21783
412	15302	21749
413	15338	21711
